Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.011111,0.481775,1.255961,0.129921,0.357262,-0.575714,0.199389,-0.707928,,,,
1,0.022222,0.475584,1.250559,0.134422,0.343672,-0.575275,0.215817,-0.710191,,,,
1,0.033333,0.469393,1.245157,0.138922,0.329923,-0.574571,0.232146,-0.712129,,,,
1,0.044444,0.463201,1.239755,0.143422,0.316023,-0.573603,0.248368,-0.713738,,,,
1,0.055556,0.457010,1.234353,0.147923,0.301978,-0.572372,0.264475,-0.715019,,,,
1,0.066667,0.450819,1.228952,0.152423,0.287794,-0.570877,0.280461,-0.715972,,,,
1,0.077778,0.444628,1.223550,0.156923,0.273477,-0.569119,0.296319,-0.716595,,,,
1,0.088889,0.438436,1.218148,0.161423,0.259035,-0.567100,0.312039,-0.716889,,,,
1,0.100000,0.432245,1.212746,0.165924,0.244473,-0.564820,0.327617,-0.716853,,,,
1,0.111111,0.426054,1.207344,0.170424,0.229799,-0.562281,0.343043,-0.716487,,,,
1,0.122222,0.419863,1.201942,0.174924,0.215020,-0.559482,0.358312,-0.715792,,,,
1,0.133333,0.413672,1.196540,0.179425,0.200141,-0.556427,0.373417,-0.714768,,,,
1,0.144445,0.407480,1.191138,0.183925,0.185170,-0.553115,0.388349,-0.713415,,,,
1,0.155556,0.401289,1.185736,0.188425,0.170115,-0.549550,0.403103,-0.711733,,,,
1,0.166667,0.395098,1.180335,0.192926,0.154981,-0.545731,0.417671,-0.709725,,,,
1,0.177778,0.388907,1.174933,0.197426,0.139775,-0.541662,0.432048,-0.707390,,,,
1,0.188889,0.382716,1.169531,0.201926,0.124506,-0.537343,0.446225,-0.704730,,,,
1,0.200000,0.376524,1.164129,0.206426,0.109179,-0.532777,0.460198,-0.701745,,,,
1,0.211111,0.370333,1.158727,0.210927,0.093802,-0.527966,0.473959,-0.698438,,,,
1,0.222222,0.364142,1.153325,0.215427,0.078382,-0.522913,0.487501,-0.694810,,,,
1,0.233333,0.357951,1.147923,0.219927,0.062926,-0.517619,0.500820,-0.690862,,,,
1,0.244444,0.351759,1.142521,0.224428,0.047441,-0.512087,0.513908,-0.686597,,,,
1,0.255556,0.345568,1.137119,0.228928,0.031934,-0.506319,0.526760,-0.682015,,,,
1,0.266667,0.339377,1.131718,0.233428,0.016412,-0.500318,0.539370,-0.677120,,,,
1,0.277778,0.333186,1.126316,0.237928,0.000883,-0.494088,0.551732,-0.671914,,,,
1,0.288889,0.326995,1.120914,0.242429,-0.014647,-0.487630,0.563840,-0.666399,,,,
1,0.300000,0.320803,1.115512,0.246929,-0.030169,-0.480948,0.575688,-0.660577,,,,
1,0.311111,0.314612,1.110110,0.251429,-0.045678,-0.474045,0.587272,-0.654451,,,,
1,0.322222,0.308421,1.104708,0.255930,-0.061166,-0.466923,0.598586,-0.648025,,,,
1,0.333333,0.302230,1.099306,0.260430,-0.076626,-0.459587,0.609624,-0.641300,,,,
1,0.344444,0.296039,1.093904,0.264930,-0.092051,-0.452040,0.620383,-0.634281,,,,
1,0.355556,0.289847,1.088502,0.269431,-0.107433,-0.444285,0.630855,-0.626969,,,,
1,0.366667,0.283656,1.083101,0.273931,-0.122766,-0.436325,0.641038,-0.619370,,,,
1,0.377778,0.277465,1.077699,0.278431,-0.138042,-0.428165,0.650926,-0.611485,,,,
1,0.388889,0.271274,1.072297,0.282931,-0.153255,-0.419808,0.660514,-0.603320,,,,
1,0.400000,0.265082,1.066895,0.287432,-0.168398,-0.411258,0.669799,-0.594877,,,,
1,0.411111,0.258891,1.061493,0.291932,-0.183463,-0.402518,0.678776,-0.586160,,,,
1,0.422222,0.252700,1.056091,0.296432,-0.198443,-0.393594,0.687441,-0.577174,,,,
1,0.433333,0.246509,1.050689,0.300933,-0.213333,-0.384489,0.695789,-0.567922,,,,
1,0.444444,0.240318,1.045287,0.305433,-0.228124,-0.375206,0.703817,-0.558409,,,,
1,0.455556,0.234126,1.039885,0.309933,-0.242810,-0.365751,0.711522,-0.548639,,,,
1,0.466667,0.227935,1.034484,0.314434,-0.257385,-0.356128,0.718900,-0.538617,,,,
1,0.477778,0.221744,1.029082,0.318934,-0.271841,-0.346342,0.725947,-0.528348,,,,
1,0.488889,0.215553,1.023680,0.323434,-0.286172,-0.336395,0.732660,-0.517835,,,,
1,0.500000,0.209362,1.018278,0.327934,-0.300372,-0.326295,0.739036,-0.507084,,,,
1,0.511111,0.203170,1.012876,0.332435,0.314434,0.316044,-0.745072,0.496100,,,,
1,0.522222,0.204442,1.017364,0.333992,0.305140,0.317488,-0.744464,0.501860,,,,
1,0.533333,0.205714,1.021852,0.335550,0.295809,0.318894,-0.743766,0.507559,,,,
1,0.544445,0.206986,1.026339,0.337107,0.286442,0.320260,-0.742976,0.513196,,,,
1,0.555556,0.208258,1.030827,0.338665,0.277040,0.321588,-0.742096,0.518771,,,,
1,0.566667,0.209530,1.035315,0.340223,0.267604,0.322876,-0.741126,0.524282,,,,
1,0.577778,0.210802,1.039803,0.341780,0.258136,0.324126,-0.740065,0.529729,,,,
1,0.588889,0.212073,1.044291,0.343338,0.248636,0.325335,-0.738914,0.535111,,,,
1,0.600000,0.213345,1.048778,0.344895,0.239106,0.326505,-0.737672,0.540428,,,,
1,0.611111,0.214617,1.053266,0.346453,0.229546,0.327635,-0.736341,0.545680,,,,
1,0.622223,0.215889,1.057754,0.348010,0.219959,0.328725,-0.734920,0.550864,,,,
1,0.633334,0.217161,1.062242,0.349568,0.210345,0.329774,-0.733409,0.555982,,,,
1,0.644445,0.218433,1.066730,0.351126,0.200705,0.330784,-0.731808,0.561031,,,,
1,0.655556,0.219705,1.071218,0.352683,0.191040,0.331753,-0.730119,0.566013,,,,
1,0.666667,0.220976,1.075705,0.354241,0.181353,0.332682,-0.728340,0.570925,,,,
1,0.677778,0.222248,1.080193,0.355798,0.171643,0.333570,-0.726472,0.575767,,,,
1,0.688889,0.223520,1.084681,0.357356,0.161912,0.334418,-0.724516,0.580539,,,,
1,0.700001,0.224792,1.089169,0.358913,0.152161,0.335224,-0.722471,0.585241,,,,
1,0.711112,0.226064,1.093657,0.360471,0.142392,0.335990,-0.720339,0.589871,,,,
1,0.722223,0.227336,1.098144,0.362028,0.132606,0.336715,-0.718118,0.594429,,,,
1,0.733334,0.228608,1.102632,0.363586,0.122803,0.337399,-0.715810,0.598914,,,,
1,0.744445,0.229880,1.107120,0.365144,0.112985,0.338041,-0.713414,0.603327,,,,
1,0.755556,0.231151,1.111608,0.366701,0.103154,0.338643,-0.710931,0.607665,,,,
1,0.766667,0.232423,1.116096,0.368259,0.093310,0.339203,-0.708362,0.611930,,,,
1,0.777779,0.233695,1.120583,0.369816,0.083455,0.339721,-0.705706,0.616120,,,,
1,0.788890,0.234967,1.125071,0.371374,0.073589,0.340198,-0.702964,0.620235,,,,
1,0.800001,0.236239,1.129559,0.372931,0.063715,0.340634,-0.700136,0.624274,,,,
1,0.811112,0.237511,1.134047,0.374489,0.053832,0.341028,-0.697223,0.628237,,,,
1,0.822223,0.238783,1.138535,0.376047,0.043943,0.341381,-0.694225,0.632123,,,,
1,0.833334,0.240055,1.143023,0.377604,0.034049,0.341691,-0.691142,0.635933,,,,
1,0.844445,0.241326,1.147510,0.379162,0.024151,0.341961,-0.687975,0.639664,,,,
1,0.855557,0.242598,1.151998,0.380719,0.014249,0.342188,-0.684724,0.643318,,,,
1,0.866668,0.243870,1.156486,0.382277,0.004346,0.342374,-0.681389,0.646893,,,,
1,0.877779,0.245142,1.160974,0.383834,-0.005557,0.342518,-0.677971,0.650389,,,,
1,0.888890,0.246414,1.165462,0.385392,-0.015460,0.342620,-0.674471,0.653806,,,,
1,0.900001,0.247686,1.169949,0.386950,-0.025361,0.342680,-0.670888,0.657143,,,,
1,0.911112,0.248958,1.174437,0.388507,-0.035259,0.342698,-0.667223,0.660400,,,,
1,0.922223,0.250230,1.178925,0.390065,-0.045153,0.342675,-0.663477,0.663576,,,,
1,0.933334,0.251501,1.183413,0.391622,-0.055041,0.342610,-0.659650,0.666671,,,,
1,0.944446,0.252773,1.187901,0.393180,-0.064923,0.342503,-0.655742,0.669685,,,,
1,0.955557,0.254045,1.192388,0.394737,-0.074796,0.342354,-0.651755,0.672618,,,,
1,0.966668,0.255317,1.196876,0.396295,-0.084661,0.342164,-0.647688,0.675468,,,,
1,0.977779,0.256589,1.201364,0.397853,-0.094515,0.341932,-0.643542,0.678236,,,,
1,0.988890,0.257861,1.205852,0.399410,-0.104357,0.341658,-0.639317,0.680921,,,,
1,1.000001,0.259133,1.210340,0.400968,-0.114187,0.341342,-0.635015,0.683523,,,,
1,1.011112,0.260404,1.214828,0.402525,-0.124003,0.340985,-0.630634,0.686041,,,,
1,1.022224,0.261676,1.219315,0.404083,-0.133804,0.340586,-0.626177,0.688476,,,,
1,1.033335,0.262948,1.223803,0.405640,-0.143588,0.340145,-0.621644,0.690827,,,,
1,1.044446,0.264220,1.228291,0.407198,-0.153355,0.339664,-0.617035,0.693094,,,,
1,1.055557,0.265492,1.232779,0.408756,-0.163103,0.339140,-0.612350,0.695276,,,,
1,1.066668,0.266764,1.237267,0.410313,-0.172831,0.338575,-0.607591,0.697373,,,,
1,1.077779,0.268036,1.241754,0.411871,-0.182539,0.337969,-0.602758,0.699385,,,,
1,1.088890,0.269308,1.246242,0.413428,-0.192224,0.337322,-0.597851,0.701312,,,,
1,1.100002,0.270579,1.250730,0.414986,-0.201885,0.336634,-0.592871,0.703153,,,,
1,1.111113,0.271851,1.255218,0.416543,-0.211522,0.335904,-0.587819,0.704909,,,,
1,1.122224,0.273123,1.259706,0.418101,-0.221133,0.335134,-0.582695,0.706578,,,,
1,1.133335,0.274395,1.264193,0.419658,-0.230717,0.334322,-0.577500,0.708161,,,,
1,1.144446,0.275667,1.268681,0.421216,-0.240273,0.333470,-0.572234,0.709658,,,,
1,1.155557,0.276939,1.273169,0.422774,-0.249799,0.332577,-0.566899,0.711068,,,,
1,1.166668,0.278211,1.277657,0.424331,-0.259296,0.331644,-0.561494,0.712392,,,,
1,1.177780,0.279483,1.282145,0.425889,-0.268760,0.330670,-0.556021,0.713629,,,,
1,1.188891,0.280754,1.286632,0.427446,-0.278192,0.329655,-0.550481,0.714778,,,,
1,1.200002,0.282026,1.291120,0.429004,-0.287590,0.328601,-0.544873,0.715840,,,,
1,1.211113,0.283298,1.295608,0.430561,-0.296952,0.327506,-0.539198,0.716815,,,,
1,1.222224,0.284570,1.300096,0.432119,-0.306279,0.326372,-0.533458,0.717703,,,,
1,1.233335,0.285842,1.304584,0.433677,-0.315568,0.325198,-0.527653,0.718503,,,,
1,1.244446,0.287114,1.309072,0.435234,-0.324818,0.323984,-0.521783,0.719215,,,,
1,1.255558,0.288386,1.313559,0.436792,-0.334029,0.322730,-0.515850,0.719840,,,,
1,1.266669,0.289658,1.318047,0.438349,-0.343199,0.321437,-0.509853,0.720376,,,,
1,1.277780,0.290929,1.322535,0.439907,-0.352328,0.320105,-0.503795,0.720825,,,,
1,1.288891,0.292201,1.327023,0.441464,-0.361413,0.318734,-0.497675,0.721186,,,,
1,1.300002,0.293473,1.331511,0.443022,-0.370454,0.317324,-0.491494,0.721459,,,,
1,1.311113,0.294745,1.335998,0.444580,-0.379450,0.315875,-0.485254,0.721644,,,,
1,1.322224,0.296017,1.340486,0.446137,-0.388400,0.314387,-0.478954,0.721741,,,,
1,1.333336,0.297289,1.344974,0.447695,-0.397302,0.312862,-0.472595,0.721749,,,,
1,1.344447,0.298561,1.349462,0.449252,-0.406156,0.311298,-0.466179,0.721670,,,,
1,1.355558,0.299833,1.353950,0.450810,-0.414960,0.309696,-0.459707,0.721503,,,,
1,1.366669,0.301104,1.358437,0.452367,-0.423714,0.308056,-0.453178,0.721247,,,,
1,1.377780,0.302376,1.362925,0.453925,-0.432416,0.306379,-0.446594,0.720904,,,,
1,1.388891,0.303648,1.367413,0.455483,-0.441065,0.304665,-0.439955,0.720472,,,,
1,1.400002,0.304920,1.371901,0.457040,-0.449661,0.302913,-0.433262,0.719953,,,,
1,1.411114,0.306192,1.376389,0.458598,-0.458201,0.301124,-0.426517,0.719346,,,,
1,1.422225,0.307464,1.380877,0.460155,-0.466686,0.299299,-0.419720,0.718651,,,,
1,1.433336,0.308736,1.385364,0.461713,-0.475114,0.297437,-0.412871,0.717869,,,,
1,1.444447,0.310007,1.389852,0.463270,-0.483483,0.295538,-0.405973,0.716999,,,,
1,1.455558,0.311279,1.394340,0.464828,-0.491794,0.293604,-0.399024,0.716041,,,,
1,1.466669,0.312551,1.398828,0.466386,-0.500045,0.291634,-0.392027,0.714996,,,,
1,1.477780,0.313823,1.403316,0.467943,-0.508235,0.289628,-0.384982,0.713864,,,,
1,1.488891,0.315095,1.407803,0.469501,-0.516362,0.287587,-0.377890,0.712645,,,,
1,1.500003,0.316367,1.412291,0.471058,-0.524427,0.285511,-0.370752,0.711338,,,,
1,1.511114,0.317639,1.416779,0.472616,0.532428,-0.283400,0.363569,-0.709945,,,,
1,1.522225,0.316569,1.412898,0.472253,0.528031,-0.283362,0.368201,-0.710857,,,,
1,1.533336,0.315500,1.409018,0.471890,0.523612,-0.283312,0.372817,-0.711739,,,,
1,1.544447,0.314430,1.405137,0.471527,0.519171,-0.283251,0.377417,-0.712591,,,,
1,1.555558,0.313361,1.401257,0.471164,0.514709,-0.283177,0.382002,-0.713414,,,,
1,1.566669,0.312292,1.397376,0.470801,0.510225,-0.283092,0.386571,-0.714207,,,,
1,1.577781,0.311222,1.393496,0.470438,0.505720,-0.282995,0.391124,-0.714971,,,,
1,1.588892,0.310153,1.389615,0.470075,0.501194,-0.282886,0.395660,-0.715704,,,,
1,1.600003,0.309083,1.385735,0.469711,0.496647,-0.282766,0.400181,-0.716408,,,,
